Governança;;;Escala;;Margem;;Eficiência;;Retorno;;;Dívida
OIBR4;Oi;N1;5982,22;32,0818;-0,0858;-0,7724;-0,026;-2,439;0;0;0;-25,38
MMXM3;MMX Miner;NM;-833,755;10,296;-22,832;-448,133;-0,0763;0,1373;0;0;0;-24,23
IGBR3;IGB S/A;0;-923,772;2,7723;0;0;0;0;0;0;0;-23,32
OSXB3;OSX Brasil;NM;-4819,7;5,15106;-0,7182;-48,2121;-0,0043;0,1024;0;0;0;-22,67
MTRE3;Mitre;0;994,221;6,72845;0,1102;0,0839;0,0812;0,0315;0;0;0;-20,13
RNEW11;Renova;N2;-1351,09;2,56455;-0,7444;-7,728;-0,024;0,3421;0;0;0;-18,59
RNEW3;;;-1351,09;0,520378;-0,7444;-7,728;-0,024;0,3421;0;0;0;-18,59
RNEW4;;;-1351,09;0,644055;-0,7444;-7,728;-0,024;0,3421;0;0;0;-18,59
CEDO3;;;126,789;0,136349;0,0326;-0,1077;0,0347;-0,4611;0;0;0;-16,06
CEDO4;;;126,789;0,169416;0,0326;-0,1077;0,0347;-0,4611;0;0;0;-16,06
BTOW3;B2W Digital;NM;9535,27;383,149;0,0332;-0,0192;0,0392;-0,0184;0;0;0;-15,33
JBDU3;;;67,349;0,0788542;0;0;-0,0019;-0,0144;0;0;0;-12,67
JBDU4;J B Duarte;0;67,349;0,170732;0;0;-0,0019;-0,0144;0;0;0;-12,67
PLAS3;;;-172,283;0,0961877;-0,1989;0,0566;-0,1316;-0,1148;0;0;0;-11,17
MTIG4;;;27,8192;0,00907613;-0,0617;0,0969;-0,0594;0,4251;0;0;0;-10,89
MWET4;;;-224,643;0,113468;-0,0486;-0,1823;-0,0476;0,1167;0;0;0;-10,28
PMAM3;Paranapanema;NM;-357,442;4,60123;-0,0255;-0,3106;-0,0306;3,4735;0;0;0;-9,61
TELB3;;;1591,55;0,417429;-1,0409;0,11;-0,0818;0,0179;0;0;0;-9,12
TELB4;Telebras;0;1591,55;1,19152;-1,0409;0,11;-0,0818;0,0179;0;0;0;-9,12
BRKM5;Braskem;N1;-4464,67;101,822;0,0679;-0,2138;0,0577;2,4401;0;0;0;-6,28
BRKM3;Braskem;N1;-4464,67;0,444121;0,0679;-0,2138;0,0577;2,4401;0;0;0;-6,28
BRKM6;;;-4464,67;0,00515805;0,0679;-0,2138;0,0577;2,4401;0;0;0;-6,28
RSID3;Rossi Resid;NM;-729,329;1,01851;-1,3312;-3,0391;-0,0442;0,2162;0;0;0;-5,91
EMBR3;Embraer;NM;15797,8;146,19;-0,0073;-0,3476;-0,0021;-0,2833;0;0;0;-5,52
LPSB3;Lopes Brasil;NM;165,557;5,02713;0,2088;-0,0214;0,1433;-0,0893;0;0;0;-4,86
AZUL4;Azul S.A.;0;-13866,4;438,223;-0,4857;-1,7834;-0,3732;0,9339;0;0;0;-4,75
AMAR3;Lojas Marisa;NM;1025,06;27,6323;0,0379;-0,2105;0,0352;-0,4013;0;0;0;-4,12
PDGR3;PDG Realt;NM;-5388,62;0,184034;-0,38;-3,9526;-0,0515;0,1508;0;0;0;-3,86
GFSA3;Gafisa;NM;1509,62;23,7716;0,0394;-0,1422;0,0062;-0,0387;0;0;0;-3,17
LIPR3;Eletropar;0;199,744;0,00339056;0;0;0,1272;0,1633;0;0;0;-2,96
RCSL4;Recrusul;0;-67,323;13,8753;0,0279;-0,0963;0,017;0,0333;0;0;0;-2,82
BIOM3;Biomm;MA;108,621;0,628192;-0,9908;-1,3284;-0,1551;-0,537;0;0;0;-2,63
INEP3;;;-2170,94;0,64864;-40,1928;-56,74;-0,2314;0,1963;0;0;0;-2,38
INEP4;Inepar;0;-2170,94;0,806151;-40,1928;-56,74;-0,2314;0,1963;0;0;0;-2,38
LUPA3;Lupatech;NM;40,642;1,23322;3,6337;12,8108;-0,0769;-3,2635;0;0;0;-2,32
SNSY5;;;-1331,34;0,406225;-0,1274;-0,3099;-0,1845;0,1075;0;0;0;-1,78
MDNE3;;;1001,88;3,14062;0,0823;-0,3437;0,0169;-0,1386;0;0;0;-1,72
CALI4;;;0,784;0,00048995;-0,7476;-0,5146;-0,1322;-10,6276;0;0;0;-1,71
CEED4;;;-5305,96;0,0116986;-0,1026;-0,4449;-0,112;0,2867;0;0;0;-1,63
CEED3;;;-5305,96;0,0871533;-0,1026;-0,4449;-0,112;0,2867;0;0;0;-1,63
CRPG3;;;674,424;0,00870603;0,1937;0,2028;0,1644;0,1792;0;0;0;-1,59
VIVR3;Viver;NM;-182,109;0,672165;4,6398;16,4059;-0,1415;0,8979;0;0;0;-1,59
LLIS3;Le Lis Blanc;NM;620,881;0,571014;-0,6006;-2,8444;-0,1657;-0,7098;0;0;0;-1,42
ATOM3;Atompar;0;16,474;0,36731;0,3573;0,4446;0,846;0,7356;0;0;0;-1,37
BDLL4;Bardella;0;-152,754;0,0492229;-1,1219;-6,6222;-0,0479;1,0824;0;0;0;-1,28
TCSA3;Tecnisa;NM;806,412;7,84749;-0,357;-0,7324;-0,0666;-0,2403;0;0;0;-1,13
TECN3;Technos;NM;313,466;1,67475;-0,0201;-0,4523;-0,0087;-0,3338;0;0;0;-0,92
SLED3;Saraiva Livr;N2;-345,644;1,75509;-0,3006;-1,1429;-0,3527;1,1985;0;0;0;-0,68
SLED4;Saraiva Livr;N2;-345,644;2,10562;-0,3006;-1,1429;-0,3527;1,1985;0;0;0;-0,68
BAHI3;Bahema;MA;84,21;0,117125;0,016;-0,2096;0,0053;-0,4047;0;0;0;-0,65
AZEV3;;;-263,291;0,43855;0;0;0;0;0;0;0;-0,42
AZEV4;Azevedo;0;-263,291;0,371133;0;0;0;0;0;0;0;-0,42
MEAL3;Imc S/A;NM;1254,13;59,1093;-0,1353;-0,3735;-0,0846;-0,3663;0;0;0;-0,07
PINE4;Pine;N2;814,692;0,963188;0;0;0;-0,0419;0;0;0;0
JFEN3;Joao Fortes;0;336,159;0,0105125;-1,4916;-4,331;-0,0878;-1,209;0;0;0;0
IDVL3;Indusval;N2;237,683;0,196324;0;0;0;-0,9176;0;0;0;0
IDVL4;Indusval;N2;237,683;0,0593953;0;0;0;-0,9176;0;0;0;0
TIMS3;Tim Part S/A;NM;23249,2;80,6856;0,1919;0,0989;0,097;0,073;0,032;0,1852;0,2172;2,01
MAPT4;;;-5,727;0,0182269;0;0;-0,199;0,0304;0;0;0;0
ADHM3;Advanced-Dh;0;-19,776;0,124533;-135,485;-188,606;5,217;0,3147;0;0;0;0
RPMG3;Pet Manguinh;0;-3076,96;0,306077;0;0;0;0;0;0;0;0
MNPR3;;;-368,449;0,0945615;0,2095;-0,0583;0,2268;0,0389;0;0;0;0,01
HOOT4;;;-419,584;0,0453717;-2,8459;-3,1857;-0,3404;0,4098;0;0;0;0,02
ETER3;Eternit;NM;81,379;70,958;0,0423;0,0772;0,0486;0,5457;0;0;0;0,09
DMMO3;Dommo;0;-867,569;21,1439;-0,3321;-1,112;-1,1313;0,4751;0;0;0;0,22
BBRK3;BR Brokers;NM;158,829;1,80203;-0,2613;-1,1861;-0,1185;-0,8933;0;0;0;0,33
DTCY3;;;6,01;0,0135168;0,0325;-0,1255;0,0274;-0,3764;0;0;0;1,06
BTTL3;;;19,104;0,0433912;0;0;0;0;0;0;0;1,15
SHOW3;Time For Fun;NM;254,211;5,04803;-0,3852;-0,4745;-0,1273;-0,2254;0;0;0;1,35
BOBR4;Bombril;0;-241,275;0,379921;0,1135;0,0357;0,2458;-0,1594;0;0;0;1,62
AHEB3;;;12,171;0,015221;0;0;0;0;0;0;0;1,95
VULC3;Vulcabras;NM;1072,27;6,09572;0,0731;0,0202;0,0618;0,0206;0;0;0;2,17
NUTR3;;;16,168;0,112347;0,0414;0,5967;0,0452;2,5611;0;0;0;2,27
PFRM3;Profarma;NM;1018,72;5,02169;0,039;0,0085;0,0948;0,0432;0;0;0;2,35
MRFG3;Marfrig;NM;964,884;144,835;0,1226;0,0553;0,2977;2,2361;0;0;0;2,42
PRIO3;Petrorio;NM;2541,81;398,3;0,0769;0,3545;0,0193;0,2206;0;0;0;2,54
ELET5;;;75861,6;0,00288315;0,3861;0,2474;0,0775;0,106;0;0;0;2,58
CNTO3;Centauro;NM;1920,95;46,1553;-0,0472;0,0546;-0,0415;0,0774;0;0;0;2,63
TASA3;Taurus Armas;N2;-256,159;5,02402;0,1926;0,0042;0,2505;-0,0245;0;0;0;2,82
TASA4;Taurus Armas;N2;-256,159;81,2594;0,1926;0,0042;0,2505;-0,0245;0;0;0;2,82
MDIA3;M.Diasbranco;NM;6502,65;32,1073;0,0964;0,1131;0,0863;0,126;0,0136;-0,0146;-0,001;0,4
BMIN4;;;123,879;0,0249994;0;0;0;0,0135;0,0679;-0,0861;-0,0182;0
ALPA3;Alpargatas;N1;2882,48;0,110468;0,16;0,0613;0,133;0,0711;0,0014;-0,0197;-0,0183;-0,97
ALPA4;Alpargatas;N1;2882,48;98,312;0,16;0,0613;0,133;0,0711;0,0014;-0,0197;-0,0183;-0,97
CYRE3;Cyrela Realt;NM;6261,2;179,961;0,1369;0,4413;0,0584;0,2632;0,0658;-0,0846;-0,0188;0,25
TOTS3;Totvs;NM;2566,02;213,833;0,398;0,1017;0,2632;0,0983;0,0076;-0,0433;-0,0357;-2,41
DOHL3;;;602,841;0,0885874;0,0431;0,0732;0,0315;0,0582;0,0105;-0,0549;-0,0444;-4,76
HGTX3;Cia Hering;NM;1616,32;40,8828;0,0265;0,326;0,0183;0,2169;0,0277;-0,0761;-0,0484;-2,45
AGRO3;Brasilagro;NM;1204,53;6,71146;0,229;0,2017;0,0973;0,1621;0,0267;-0,0794;-0,0527;2,86
CLSC4;Celesc;N2;1692,17;0,409742;0,0515;0,0427;0,0502;0,207;0,0493;-0,1118;-0,0625;1,3
DIRR3;Direcional;NM;1328,16;17,9432;0,1609;0,0893;0,0572;0,0758;0,0598;-0,1225;-0,0627;0,36
SEER3;Ser Educa;NM;1331,62;14,8165;0,1622;0,0322;0,094;0,0307;0,0223;-0,0861;-0,0638;-0,51
CLSC3;;;1692,17;0,168113;0,0515;0,0427;0,0502;0,207;0,0396;-0,1118;-0,0722;1,3
EZTC3;Eztec;NM;4027,6;88,9959;0,2391;0,3886;0,0734;0,0927;0,0076;-0,0933;-0,0857;-4,61
BMIN3;;;123,879;0,0143482;0;0;0;0,0135;0;-0,0861;-0,0861;0
MOAR3;;;889,788;0,276576;-0,4283;-0,6806;-0,05;-0,0848;0,0249;-0,1137;-0,0888;1,79
LINX3;Linx;NM;1684,04;93,3504;0,1597;-0,0055;0,0725;-0,0028;0,0029;-0,1047;-0,1018;-7,11
EVEN3;Even;NM;1839,42;20,6608;0,1007;0,1;0,0409;0,0731;0,0132;-0,1222;-0,109;-2,18
HAGA3;;;-76,3684;0,0309162;-0,0068;0,1914;-0,0078;-0,0634;0;-0,1285;-0,1285;0,62
HAGA4;Haga S/A;0;-76,3684;0,160236;-0,0068;0,1914;-0,0078;-0,0634;0;-0,1285;-0,1285;0,62
SOND6;;;74,955;0,00230259;0,0374;0,335;0,0394;0,2851;0,0207;-0,1538;-0,1331;-2,15
VLID3;Valid;NM;1171,68;7,23316;0,0542;-0,0756;0,0442;-0,1245;0;-0,1337;-0,1337;-10,78
SOND5;;;74,955;0,0006659;0,0374;0,335;0,0394;0,2851;0,0166;-0,1538;-0,1372;-2,15
BALM4;;;114,153;0,0510443;0,0858;0,0833;0,0685;0,1381;0,0165;-0,1947;-0,1782;0,4
LOGG3;Log Com Prop;NM;3039,25;14,9459;0,7693;1,0466;0,029;0,047;0,0064;-0,1927;-0,1863;1,76
CVCB3;Cvc Brasil;NM;-332,121;185,882;-0,626;-2,3073;-0,1587;5,2678;0;-0,2022;-0,2022;-0,28
KEPL3;Kepler Weber;0;513,931;6,97858;0,1118;0,1129;0,1181;0,1323;0,0147;-0,223;-0,2083;-1,9
BMKS3;;;184,018;0,0392895;-0,1678;0,1972;-0,0614;0,0223;0,0218;-0,2548;-0,233;-203,14
COGN3;Cogna ON;0;17191,2;328,372;0,0297;-0,3163;0,0061;-0,1137;0;-0,2468;-0,2468;-7,61
ALSO3;Alianscsonae;NM;6583,83;47,2029;0,4416;0,3038;0,0428;0,0404;0;-0,2708;-0,2708;-2,7
STBP3;Santos Brp;NM;2084,21;32,0317;0,0181;-0,0197;0,0053;-0,0085;0,0025;-0,3001;-0,2976;-12,31
SBSP3;Sabesp;NM;21696,6;179,322;0,2446;0,0681;0,0944;0,0553;0,0331;0,3011;0,3342;3,06
CSRN3;;;1311;0,0248455;0,1764;0,1211;0,1426;0,2993;0,0197;0,0529;0,0726;3,16
CSRN6;;;1311;0,00957046;0,1764;0,1211;0,1426;0,2993;0,021;0,0529;0,0739;3,16
CSRN5;;;1311;0,014233;0,1764;0,1211;0,1426;0,2993;0,0211;0,0529;0,074;3,16
CCPR3;Cyre Com-Ccp;NM;1790,71;11,664;0,5058;0,3084;0,0563;0,0458;0,0783;-0,0825;-0,0042;3,19
TIET11;AES Tiete E;N2;1377,6;24,3784;0,4301;0,1749;0,1726;0,2548;0,0641;0,0742;0,1383;3,22
TIET3;AES Tiete E;N2;1377,6;0,848496;0,4301;0,1749;0,1726;0,2548;0,0633;0,0742;0,1375;3,22
TIET4;AES Tiete E;N2;1377,6;1,8776;0,4301;0,1749;0,1726;0,2548;0,0638;0,0742;0,138;3,22
MNDL3;;;-156,168;0,029086;0,0799;-0,0326;0,039;0,1016;0;0;0;3,33
POSI3;Positivo Tec;NM;931,221;9,15059;0,007;0,0275;0,0086;0,0511;0,0067;-0,0217;-0,015;3,43
REDE3;;;3878,17;0,016409;0,155;0,0876;0,1008;0,175;0,0083;-0,1054;-0,0971;3,46
ENMT3;;;2631,01;0,0795199;0,1698;0,121;0,1156;0,2205;0;0,4149;0,4149;3,51
ENMT4;;;2631,01;0,00112769;0,1698;0,121;0,1156;0,2205;0,0167;0,4149;0,4316;3,51
BRDT3;Petrobras BR;NM;9615;193,379;0,0163;0,0105;0,0617;0,0887;0,0416;0,1451;0,1867;3,57
PCAR3;;;13091;102,239;0,0684;0,0095;0,123;0,048;0,0078;-0,12;-0,1122;3,58
CIEL3;Cielo;NM;9155,9;147,386;0,0884;0,0409;0,058;0,0479;0,0174;-0,1113;-0,0939;3,6
FRAS3;Fras-Le;N1;886,566;1,24695;0,1017;0,0339;0,0691;0,0641;0,0165;-0,0617;-0,0452;3,72
EKTR3;;;3032;0,0138828;0,1647;0,0805;0,1788;0,2215;0,0145;0,0243;0,0388;3,78
EKTR4;;;3032;0,0688493;0,1647;0,0805;0,1788;0,2215;0,0289;0,0243;0,0532;3,78
ROMI3;Inds Romi;NM;805,029;15,1116;0,0755;0,1274;0,0468;0,1331;0,1232;0,761;0,8842;3,78
GGBR3;Gerdau;N1;31270,6;2,39877;0,0643;0,0361;0,0494;0,0453;0,0136;-0,0395;-0,0259;3,86
GGBR4;Gerdau;N1;31270,6;328,899;0,0643;0,0361;0,0494;0,0453;0,0113;-0,0395;-0,0282;3,86
GOAU3;Gerdau Met;N1;11600,1;0,753314;0,064;0,0362;0,0492;0,0456;0,0165;0,016;0,0325;3,86
GOAU4;Gerdau Met;N1;11600,1;126,264;0,064;0,0362;0,0492;0,0456;0,0142;0,016;0,0302;3,86
JOPA3;;;540,231;0,00455815;0,1014;0,0371;0,0953;0,0888;0,0077;-0,0668;-0,0591;3,99
JOPA4;;;540,231;0,00008221;0,1014;0,0371;0,0953;0,0888;0,0099;-0,0668;-0,0569;3,99
RENT3;Localiza;NM;5724,11;295,791;0,1447;0,0864;0,1015;0,1528;0,005;0,1522;0,1572;4,27
SCAR3;Sao Carlos;NM;1550,42;0,560525;0,556;0,2195;0,0838;0,0551;0,0016;-0,0645;-0,0629;4,39
LCAM3;Locamerica;NM;4049,79;84,3127;0,1233;0,0546;0,0841;0,0703;0,0163;0,6864;0,7027;4,44
COCE3;;;3187,67;0,0102082;0,0881;0,0637;0,0592;0,1137;0,0292;0,0999;0,1291;4,45
COCE5;Coelce;0;3187,67;0,844713;0,0881;0,0637;0,0592;0,1137;0,037;0,0999;0,1369;4,45
ESTR4;;;-486,12;0,0325504;-0,0873;-0,221;-0,0422;0,0482;0;0;0;4,51
CSAN3;Cosan;NM;10659,7;177,113;0,1462;0,0813;0,0643;0,0961;0,0185;0,3102;0,3287;4,54
ENEV3;Eneva;NM;7278,86;121,041;0,2937;0,2186;0,0723;0,0943;0;0;0;4,58
IGTA3;Iguatemi;NM;3102,78;81,4916;0,5036;0,3293;0,0686;0,0745;0,0124;0,0638;0,0762;4,58
CTKA3;;;-200,883;0,125799;0,1154;0,371;0,1031;-0,6724;0;0;0;4,73
CTKA4;;;-200,883;0,30821;0,1154;0,371;0,1031;-0,6724;0;0;0;4,73
CEEB3;;;5989;0,0628782;0,1695;0,096;0,1135;0,2058;0,0237;0,1624;0,1861;4,74
ANIM3;Anima;NM;1656,83;34,6303;0,1504;-0,0263;0,0716;-0,0219;0;0;0;4,76
NEOE3;Neoenergia;NM;20865;58,1579;0,1754;0,087;0,0948;0,1166;0,0253;0,2434;0,2687;4,77
NEOE3;Neoenergia;NM;20865;58,1579;0,1754;0,087;0,0948;0,1166;0,0253;0,2434;0,2687;4,77
TESA3;Terra Santa;NM;728,543;1,66325;0,2152;-0,0727;0,1029;-0,1182;0;0;0;4,89
LOGN3;Log-In;NM;217,051;18,8276;0,0855;-0,1;0,0715;-0,4928;0;0;0;4,98
YDUQ3;Yduqs Part;NM;3321,2;126,069;0,1535;0,0694;0,0788;0,0779;0,0156;0,1226;0,1382;5,04
JPSA3;Jereissati;0;1602,91;8,01491;0,4721;0,2957;0,0631;0,0586;0,0047;0;0,0047;5,08
BSEV3;Biosev;NM;-837,886;0,587268;0,131;-0,1049;0,1107;1,1167;0;0;0;5,2
BRFS3;BRF SA;NM;7086,93;221,322;0,0759;0,0313;0,0946;0,1632;0;-0,3313;-0,3313;5,33
ECOR3;Ecorodovias;NM;686,925;48,2736;0,3207;0,0697;0,1296;0,412;0;0;0;5,42
ENGI11;Energisa;N2;6854,36;73,1085;0,1324;0,091;0,0705;0,2433;0,0128;0,1159;0,1287;5,47
ENGI3;;;6854,36;0,308067;0,1324;0,091;0,0705;0,2433;0,0076;0,1159;0,1235;5,47
ENGI4;;;6854,36;0,340122;0,1324;0,091;0,0705;0,2433;0,0153;0,1159;0,1312;5,47
CCRO3;CCR SA;NM;7999,7;134,957;0,2485;0,0561;0,0891;0,0823;0,0373;0,0111;0,0484;5,5
TUPY3;Tupy;NM;2536,9;28,1834;0,0665;-0,0218;0,0619;-0,0354;0;0,2561;0,2561;5,87
WSON33;Wilson Sons;0;2412,05;1,94911;0,4204;0,0571;0,1514;0,0391;0,0694;0,0405;0,1099;5,9
MRVE3;MRV;NM;5616,19;100,595;0,123;0,0897;0,0488;0,0899;0,0182;-0,0009;0,0173;6,03
RAIL3;Rumo S.A.;NM;14994,7;224,789;0,2833;0,0724;0,0526;0,0331;0;0;0;6,07
PTBL3;Portobello;NM;421,63;20,1949;0,035;0,0832;0,0278;0,2431;0,0061;-0,3243;-0,3182;6,21
RLOG3;Cosan Log;NM;2507,24;28,9748;0,2885;0,0707;0,0536;0,0515;0;0,4236;0,4236;6,92
FRIO3;;;-74,376;0,0291727;0,0478;-0,0933;0,0716;1,8684;0;0;0;7,15
CSNA3;Sid Nacional;0;4996,73;361,449;0,2249;0,0571;0,1372;0,2221;0,0002;0;0,0002;7,34
CBEE3;Ampla Energ;0;3614,71;0,00857154;0,0725;0,0181;0,0431;0,0303;0;0,0747;0,0747;7,93
PTNT4;Pettenati;0;263,505;0,165798;0,0119;0,0206;0,0108;0,0155;0;-0,2908;-0,2908;8,14
PTNT3;;;263,505;0,201407;0,0119;0,0206;0,0108;0,0155;0;-0,2908;-0,2908;8,14
KLBN11;Klabin S/A;N2;2594,9;144,654;0,225;-0,2803;0,0936;-1,2394;0,0007;-0,0043;-0,0036;8,34
KLBN3;Klabin S/A;N2;2594,9;2,02121;0,225;-0,2803;0,0936;-1,2394;0,0007;-0,0043;-0,0036;8,34
KLBN4;Klabin S/A;N2;2594,9;8,92643;0,225;-0,2803;0,0936;-1,2394;0,0007;-0,0043;-0,0036;8,34
RDNI3;Rni;NM;605,155;0,568616;0,0241;-0,0139;0,0056;-0,0102;0,0009;-0,5614;-0,5605;8,5
CEPE5;;;1689;0,069476;0,1044;0,0357;0,0215;0,0337;0,0651;0,066;0,1311;8,85
POMO3;Marcopolo;N2;2458,97;0,694817;0,0549;0,0069;0,044;0,0138;0,0315;-0,011;0,0205;9,15
POMO4;Marcopolo;N2;2458,97;26,2349;0,0549;0,0069;0,044;0,0138;0,0288;-0,011;0,0178;9,15
UGPA3;Ultrapar;NM;9424,33;126,499;0,0201;0,0028;0,0668;0,0213;0,0101;-0,2028;-0,1927;9,81
SUZB3;Suzano S.A.;0;1334,7;486,827;0,2113;-0,5239;0,0665;-11,5911;0;0;0;10,45
CTSA3;;;285,461;0,0271721;0,0553;0;0,0441;-0,0001;0,0123;0,6171;0,6294;11,06
CTSA4;;;285,461;0,0370808;0,0553;0;0,0441;-0,0001;0,0173;0,6171;0,6344;11,06
NORD3;;;-139,893;0,086416;-0,445;0,2118;-0,0423;-0,0024;0;0;0;11,7
VVAR3;Viavarejo;NM;5632;790,279;0,0788;-0,0069;0,0993;-0,033;0;0;0;11,84
BRML3;BR Malls Par;NM;10546,1;155,803;0,6183;-0,0095;0,0352;-0,0081;0;0,1824;0,1824;12,08
MILS3;Mills;NM;1095,33;7,5148;-0,0225;-0,0481;-0,0122;-0,0262;0;0;0;13,09
MOVI3;Movida;NM;2217,26;43,6259;0,1194;0,0023;0,1059;0,0043;0,0072;1,1671;1,1743;13,44
MGEL4;Mangels Indl;0;-481,885;0,195238;0,0944;-0,1954;0,2128;0,2228;0;0;0;15,44
NTCO3;Grupo Natura;0;24600,5;324,066;0,0712;-0,0174;0,0565;-0,0273;0;-0,2683;-0,2683;15,57
LIGT3;Light S/A;NM;6809,96;45,7375;0,0433;-0,009;0,0262;-0,0159;0;0,1491;0,1491;16,43
FHER3;Fer Heringer;NM;-205,057;0,968394;0,0053;0,3479;0,0068;-3,1927;0;1,4143;1,4143;22,09
GUAR3;Guararapes;0;4855,73;15,0351;-0,0152;0,007;-0,0106;0,0093;0,0291;0,043;0,0721;35,25
PRNR3;;;210,974;1,56496;-0,0408;-0,0961;-0,0575;-0,0973;0;0;0;35,91
DASA3;;;3896,02;0,0842472;0,0048;-0,032;0,0027;-0,0489;0;0,0952;0,0952;44,49
GSHP3;Generalshopp;NM;-585,617;0,191298;0,1103;-5,7566;0,0071;0,9207;0;0;0;82,48
HBOR3;Helbor;NM;1246,96;19,5025;-0,0096;-0,012;-0,0031;-0,0213;0;0;0;94,31
APER3;Alper S.A.;NM;179,079;0,86564;-0,0033;0,001;-0,0014;0,0006;0,0015;-0,3112;-0,3097;170,19
TPIS3;Triunfo Part;NM;648,781;6,32752;-0,0343;-0,0613;-0,01;-0,0557;0;0;0;192,84
HETA4;;;-382,643;0,0820723;0,7777;0,3253;0,0938;-0,0011;0;-0,4673;-0,4673;315,74
